INFO:root:Network range to defend: 192.168.0.0/24
INFO:root:Sending ARPs to network range 192.168.0.0/24
INFO:root:Gateway IP: 192.168.0.1
INFO:root:Interface: enp5s0
INFO:root:Network range to defend: 192.168.0.0/24
INFO:root:Sending ARPs to network range 192.168.0.0/24
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.208
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.209
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.210
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.211
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.212
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.213
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.214
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.215
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.216
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.217
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.218
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.219
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.220
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.221
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.222
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.223
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.224
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.225
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.226
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.227
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.228
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.229
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.230
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.231
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.232
INFO:root:[*] Probe- 192.168.0.2 is asking about 192.168.0.233
